timestamp,hour,day_of_week,campaign,discount,past_traffic,traffic
2026-01-01 00:00:00,0,3,0,0,54.92161199238292,54
2026-01-01 01:00:00,1,3,1,20,53.21992911114029,170
2026-01-01 02:00:00,2,3,0,0,53.730846558006135,54
2026-01-01 03:00:00,3,3,0,0,55.572030984777996,60
2026-01-01 04:00:00,4,3,0,0,56.081496884823075,53
2026-01-01 05:00:00,5,3,0,0,58.354372065514106,61
2026-01-01 06:00:00,6,3,0,0,58.48340398830303,60
2026-01-01 07:00:00,7,3,1,50,61.508360872602545,193
2026-01-01 08:00:00,8,3,0,0,61.01995762712673,60
2026-01-01 09:00:00,9,3,0,0,63.85839345057829,69
2026-01-01 10:00:00,10,3,0,0,60.421655282515616,51
2026-01-01 11:00:00,11,3,1,10,57.03069142205984,168
2026-01-01 12:00:00,12,3,1,50,49.54293437421191,222
2026-01-01 13:00:00,13,3,0,0,47.15064233235528,44
2026-01-01 14:00:00,14,3,0,0,44.44392856150571,41
2026-01-01 15:00:00,15,3,0,0,45.10716772010441,48
2026-01-01 16:00:00,16,3,0,0,46.37644880308153,48
2026-01-01 17:00:00,17,3,0,0,44.93443077137971,37
2026-01-01 18:00:00,18,3,0,0,40.58916653498189,35
2026-01-01 19:00:00,19,3,0,0,38.674350640627374,42
2026-01-01 20:00:00,20,3,0,0,39.03822413142365,38
2026-01-01 21:00:00,21,3,0,0,42.456680512234726,46
2026-01-01 22:00:00,22,3,0,0,43.56227904063977,46
2026-01-01 23:00:00,23,3,0,0,43.98043178505241,39
2026-01-02 00:00:00,0,4,0,0,47.86174336163182,57
2026-01-02 01:00:00,1,4,0,0,53.04606459904725,61
2026-01-02 02:00:00,2,4,0,0,57.08038712357706,51
2026-01-02 03:00:00,3,4,0,0,56.21206512542215,55
2026-01-02 04:00:00,4,4,0,0,55.71939918374418,60
2026-01-02 05:00:00,5,4,0,0,58.851227738826765,61
2026-01-02 06:00:00,6,4,0,0,61.57128152255296,63
2026-01-02 07:00:00,7,4,0,0,64.7781815109708,69
2026-01-02 08:00:00,8,4,0,0,63.59284007348691,57
2026-01-02 09:00:00,9,4,1,20,60.1884601487566,242
2026-01-02 10:00:00,10,4,1,50,52.98616778315824,214
2026-01-02 11:00:00,11,4,1,50,50.03884190013873,224
2026-01-02 12:00:00,12,4,0,0,48.957103082291326,49
2026-01-02 13:00:00,13,4,0,0,51.717501417836786,56
2026-01-02 14:00:00,14,4,0,0,49.543635835671296,42
2026-01-02 15:00:00,15,4,0,0,47.61480477257063,44
2026-01-02 16:00:00,16,4,0,0,42.57248231098001,41
2026-01-02 17:00:00,17,4,0,0,43.8627371774902,46
2026-01-02 18:00:00,18,4,0,0,46.72500057183657,52
2026-01-02 19:00:00,19,4,1,10,45.53458936874185,114
2026-01-02 20:00:00,20,4,0,0,43.071202917146785,38
2026-01-02 21:00:00,21,4,0,0,41.5762277318507,48
2026-01-02 22:00:00,22,4,0,0,45.15058092372531,48
2026-01-02 23:00:00,23,4,0,0,51.06818006642214,56
2026-01-03 00:00:00,0,5,0,0,52.65814818413878,52
2026-01-03 01:00:00,1,5,0,0,53.452239033791564,50
